"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
44074.95,3,1,35,3,31,3,328.52,
44074.95,3,1,35,4,20,2,6.07,
44074.95,3,1,35,4,35,2,303.45,
44074.95,3,1,36,4,20,3,3.37,
44074.95,3,1,36,5,10,3,18.62,
44074.95,3,1,37,3,11,3,31.12,
44074.95,3,1,37,3,74,3,1677.68,
44074.95,3,1,39,5,16,3,34.86,
44074.90,3,1,5,5,42,3,4.49,
44074.90,3,1,5,5,74,3,435.30,
44074.95,3,1,1,4,11,3,167.82,
44074.95,3,1,4,2,2,3,4.00,
44074.95,3,1,4,2,4,3,1.29,
44074.95,3,1,7,4,15,1,86.87,
44074.95,3,1,7,4,15,2,81.14,
44074.95,3,1,7,4,16,2,10.74,
44074.95,3,1,11,2,48,3,2.25,
44074.95,3,1,11,2,53,3,4.44,
44074.95,3,1,11,4,43,3,1.13,
44074.95,3,1,11,4,45,1,25.04,
44074.95,3,1,13,3,53,3,304.38,
44074.95,3,1,13,3,54,3,13.92,
44074.95,3,1,13,3,56,1,4.96,
44074.95,3,1,16,2,64,3,37.21,
44074.95,3,1,16,2,70,3,1.00,
44074.95,3,1,16,2,74,3,1589.82,
44074.95,3,1,16,4,53,1,47.62,
44074.95,3,1,16,4,53,3,65.09,
44074.95,3,1,20,3,2,3,3.83,
44074.95,3,1,20,3,3,2,1.65,
44074.95,3,1,21,3,8,3,7.95,
44074.95,3,1,21,3,10,3,5.01,
44074.95,3,1,22,3,22,2,137.43,
44074.95,3,1,23,4,9,3,216.42,
44074.95,3,1,25,4,30,1,8.12,
44074.95,3,1,27,5,9,3,31.33,
44074.95,3,1,27,5,10,1,7.10,
44074.95,3,1,29,4,3,2,108.76,
44074.95,3,1,29,4,3,3,116.89,
44074.95,3,1,30,3,36,3,25.68,
44074.95,3,1,30,3,37,3,91.22,
44074.95,3,1,30,4,14,3,95.08,
44074.95,3,1,30,5,14,2,4.16,
44074.95,3,1,31,3,20,2,2.33,
44074.95,3,1,32,3,22,3,3.33,
44074.95,3,1,32,3,36,1,56.95,
44074.95,3,1,34,2,42,3,9.20,
44074.95,3,1,34,2,74,3,1078.65,
44074.95,3,1,34,3,10,3,279.71,
44074.95,3,1,34,4,17,2,33.22,
44074.95,3,1,34,4,17,3,15.23,
44074.95,3,1,35,3,20,3,52.66,
44074.95,3,1,35,3,22,2,257.92,
44074.95,3,1,35,4,20,3,9.03,
44074.95,3,1,35,4,35,3,716.18,
44074.95,3,1,35,5,30,1,1.07,
44074.95,3,1,36,4,22,3,8.54,
44074.95,3,1,36,5,11,2,3.05,
44074.95,3,1,37,4,1,1,16.08,
44074.95,3,1,39,5,17,2,17.56,
44074.95,3,1,7,4,17,2,12.95,
44074.95,3,1,11,2,57,3,7.27,
44074.95,3,1,16,3,2,2,2.50,
44074.95,3,1,16,3,3,3,4.20,
44074.95,3,1,16,4,54,1,85.22,
44074.95,3,1,32,3,36,3,32.94,
44074.95,3,1,32,3,37,3,25.38,
44074.95,3,1,34,3,1,3,43.22,
44074.95,3,1,34,3,2,3,4.14,
44074.95,3,1,34,4,18,3,9.98,
44074.95,3,1,35,3,22,3,222.28,
44074.95,3,1,35,4,74,3,37427.13,
44074.95,3,1,39,5,17,3,19.14,
44074.95,3,1,30,4,15,1,233.44,
44074.95,3,1,23,4,10,1,156.21,
44074.95,3,1,24,2,42,3,3.22,
44074.95,3,1,24,2,74,3,1700.88,
44074.95,3,1,24,5,10,2,5.76,
44074.95,3,1,24,5,11,2,3.05,
44074.95,3,1,25,4,36,1,2.69,
44074.95,3,1,25,4,74,1,1203.02,
44074.95,3,1,25,5,74,1,63.50,
44074.95,3,1,26,3,10,3,17.75,
44074.95,3,1,26,3,11,1,2.85,
44074.95,3,1,26,3,11,2,26.84,
44074.95,3,1,26,3,27,3,11.17,
44074.95,3,1,26,3,30,1,4.65,
44074.95,3,1,26,4,10,1,17.38,
44074.95,3,1,26,4,10,2,91.72,
44074.95,3,1,27,2,42,3,6.21,
44074.95,3,1,27,2,74,3,11735.21,
44074.95,3,1,27,3,1,3,28.44,
44074.95,3,1,27,3,17,2,171.21,
44074.95,3,1,27,3,17,3,357.54,
44074.95,3,1,27,3,18,2,5.28,
44074.95,3,1,29,4,8,1,3.00,
44074.95,3,1,39,5,22,2,9.13,
44074.95,3,1,7,4,36,1,80.26,
44074.95,3,1,7,4,41,1,9.76,
44074.95,3,1,11,2,65,3,4.92,
44074.95,3,1,16,4,54,3,64.76,
44074.95,3,1,20,3,8,3,21.99,
44074.95,3,1,20,3,9,2,12.01,
44074.95,3,1,22,3,22,3,348.52,
44074.95,3,1,22,3,23,3,3.55,
44074.95,3,1,23,4,10,2,795.63,
44074.95,3,1,24,3,1,2,4.00,
44074.95,3,1,26,2,1,3,12.49,
44074.95,3,1,26,2,2,3,23.00,
44074.95,3,1,26,2,8,2,1.72,
44074.95,3,1,26,3,11,3,40.78,
44074.95,3,1,26,3,13,2,2.11,
44074.95,3,1,26,3,30,2,62.63,
44074.95,3,1,26,3,41,1,18.53,
44074.95,3,1,26,4,13,3,6.03,
44074.95,3,1,26,4,15,2,4.11,
44074.95,3,1,26,4,16,2,24.43,
44074.95,3,1,27,3,2,2,1.93,
44074.95,3,1,27,3,2,3,9.75,
44074.95,3,1,27,3,8,3,49.56,
44074.95,3,1,27,3,18,3,64.38,
44074.95,3,1,27,3,20,2,72.76,
44074.95,3,1,27,3,20,3,66.47,
44074.95,3,1,39,5,22,3,2.55,
44074.95,3,1,26,2,8,3,4.33,
44074.95,3,1,26,2,9,2,24.29,
44074.95,3,1,26,3,42,3,5.29,
44074.90,3,1,12,2,74,3,342.87,
44074.95,3,1,1,4,13,1,2.78,
44074.95,3,1,1,4,13,2,10.46,
44074.95,3,1,4,2,11,3,12.31,
44074.95,3,1,7,4,41,2,8.02,
44074.95,3,1,11,2,74,3,1206.12,
44074.95,3,1,21,3,11,2,4.46,
44074.95,3,1,39,5,30,1,110.85,
44074.90,3,1,12,3,10,3,16.88,
44074.90,3,1,12,3,11,2,8.70,
44074.90,3,1,12,3,11,3,27.46,
44074.90,3,1,18,2,51,2,0.00,
44074.90,3,1,18,4,51,2,0.00,
44074.90,3,1,18,4,51,3,0.00,
44074.95,3,1,1,4,13,3,53.72,
44074.95,3,1,1,4,14,1,3.99,
44074.95,3,1,4,2,74,3,341.91,
44074.95,3,1,4,3,1,3,26.68,
44074.95,3,1,7,4,42,3,32.08,
44074.95,3,1,7,4,43,2,4.06,
44074.95,3,1,11,3,1,3,5.07,
44074.95,3,1,16,4,56,1,17.36,
44074.95,3,1,20,3,9,3,2.77,
44074.95,3,1,20,3,10,2,114.74,
44074.95,3,1,22,3,25,3,30.14,
44074.95,3,1,23,4,10,3,82.65,
44074.95,3,1,39,5,30,2,35.69,
44074.90,3,1,12,3,17,3,8.02,
44074.90,3,1,12,3,25,3,5.99,
44074.90,3,1,12,3,27,3,2.36,
44074.90,3,1,18,2,51,3,0.00,
44074.90,3,1,18,4,53,1,3.10,
44074.90,3,1,18,4,54,1,41.67,
44074.95,3,1,1,4,14,3,14.70,
