"BasePeriodID","StockID","Age","TimeStep","MaturationRate","RunTime"
3,27,4,3,0.88,1/11/2023 20:49:38
3,27,4,4,0.00,1/11/2023 20:49:38
3,27,5,1,0.00,1/11/2023 20:49:38
3,27,5,2,0.00,1/11/2023 20:49:38
3,27,5,3,1.00,1/11/2023 20:49:38
3,27,5,4,0.00,1/11/2023 20:49:38
3,28,2,1,0.00,1/11/2023 20:49:38
3,28,2,2,0.00,1/11/2023 20:49:38
3,28,2,3,0.01,1/11/2023 20:49:38
3,28,2,4,0.00,1/11/2023 20:49:38
3,28,3,1,0.00,1/11/2023 20:49:38
3,28,3,2,0.00,1/11/2023 20:49:38
3,28,3,3,0.25,1/11/2023 20:49:38
3,28,3,4,0.00,1/11/2023 20:49:38
3,28,4,1,0.00,1/11/2023 20:49:38
3,28,4,2,0.00,1/11/2023 20:49:38
3,28,4,3,0.64,1/11/2023 20:49:38
3,28,4,4,0.00,1/11/2023 20:49:38
3,28,5,1,0.00,1/11/2023 20:49:38
3,28,5,2,0.00,1/11/2023 20:49:38
3,28,5,3,1.00,1/11/2023 20:49:38
3,28,5,4,0.00,1/11/2023 20:49:38
3,29,2,1,0.00,1/11/2023 20:49:38
3,29,2,2,0.00,1/11/2023 20:49:38
3,29,2,3,0.02,1/11/2023 20:49:38
3,29,2,4,0.00,1/11/2023 20:49:38
3,29,3,1,0.00,1/11/2023 20:49:38
3,29,3,2,0.00,1/11/2023 20:49:38
3,29,3,3,0.16,1/11/2023 20:49:38
3,29,3,4,0.00,1/11/2023 20:49:38
3,29,4,1,0.00,1/11/2023 20:49:38
3,29,4,2,0.00,1/11/2023 20:49:38
3,29,4,3,0.68,1/11/2023 20:49:38
3,29,4,4,0.00,1/11/2023 20:49:38
3,29,5,1,0.00,1/11/2023 20:49:38
3,29,5,2,0.00,1/11/2023 20:49:38
3,29,5,3,1.00,1/11/2023 20:49:38
3,29,5,4,0.00,1/11/2023 20:49:38
3,30,2,1,0.00,1/11/2023 20:49:38
3,30,2,2,0.00,1/11/2023 20:49:38
3,30,2,3,0.10,1/11/2023 20:49:38
3,30,2,4,0.00,1/11/2023 20:49:38
3,30,3,1,0.00,1/11/2023 20:49:38
3,30,3,2,0.00,1/11/2023 20:49:38
3,30,3,3,0.35,1/11/2023 20:49:38
3,30,3,4,0.00,1/11/2023 20:49:38
3,30,4,1,0.00,1/11/2023 20:49:38
3,30,4,2,0.00,1/11/2023 20:49:38
3,30,4,3,0.97,1/11/2023 20:49:38
3,30,4,4,0.00,1/11/2023 20:49:38
3,30,5,1,0.00,1/11/2023 20:49:38
3,30,5,2,0.00,1/11/2023 20:49:38
3,30,5,3,1.00,1/11/2023 20:49:38
3,30,5,4,0.00,1/11/2023 20:49:38
3,31,2,1,0.00,1/11/2023 20:49:38
3,31,2,2,0.00,1/11/2023 20:49:38
3,31,2,3,0.01,1/11/2023 20:49:38
3,31,2,4,0.00,1/11/2023 20:49:38
3,31,3,1,0.00,1/11/2023 20:49:38
3,31,3,2,0.00,1/11/2023 20:49:38
3,31,3,3,0.19,1/11/2023 20:49:38
3,31,3,4,0.00,1/11/2023 20:49:38
3,31,4,1,0.00,1/11/2023 20:49:38
3,31,4,2,0.00,1/11/2023 20:49:38
3,31,4,3,0.95,1/11/2023 20:49:38
3,31,4,4,0.00,1/11/2023 20:49:38
3,31,5,1,0.00,1/11/2023 20:49:38
3,31,5,2,0.00,1/11/2023 20:49:38
3,31,5,3,1.00,1/11/2023 20:49:38
3,31,5,4,0.00,1/11/2023 20:49:38
3,32,2,1,0.00,1/11/2023 20:49:38
3,32,2,2,0.00,1/11/2023 20:49:38
3,32,2,3,0.11,1/11/2023 20:49:38
3,32,2,4,0.00,1/11/2023 20:49:38
3,32,3,1,0.00,1/11/2023 20:49:38
3,32,3,2,0.00,1/11/2023 20:49:38
3,32,3,3,0.39,1/11/2023 20:49:38
3,32,3,4,0.00,1/11/2023 20:49:38
3,32,4,1,0.00,1/11/2023 20:49:38
3,32,4,2,0.00,1/11/2023 20:49:38
3,32,4,3,0.93,1/11/2023 20:49:38
3,32,4,4,0.00,1/11/2023 20:49:38
3,32,5,1,0.00,1/11/2023 20:49:38
3,32,5,2,0.00,1/11/2023 20:49:38
3,32,5,3,1.00,1/11/2023 20:49:38
3,32,5,4,0.00,1/11/2023 20:49:38
3,33,2,1,0.00,1/11/2023 20:49:38
3,33,2,2,0.00,1/11/2023 20:49:38
3,33,2,3,0.05,1/11/2023 20:49:38
3,33,2,4,0.00,1/11/2023 20:49:38
3,33,3,1,0.00,1/11/2023 20:49:38
3,33,3,2,0.04,1/11/2023 20:49:38
3,33,3,3,0.17,1/11/2023 20:49:38
3,33,3,4,0.00,1/11/2023 20:49:38
3,33,4,1,0.00,1/11/2023 20:49:38
3,33,4,2,0.14,1/11/2023 20:49:38
3,33,4,3,0.82,1/11/2023 20:49:38
3,33,4,4,0.00,1/11/2023 20:49:38
3,33,5,1,0.00,1/11/2023 20:49:38
3,33,5,2,0.26,1/11/2023 20:49:38
3,33,5,3,1.00,1/11/2023 20:49:38
3,33,5,4,0.00,1/11/2023 20:49:38
3,34,2,1,0.00,1/11/2023 20:49:38
3,34,2,2,0.00,1/11/2023 20:49:38
3,34,2,3,0.04,1/11/2023 20:49:38
3,34,2,4,0.00,1/11/2023 20:49:38
3,34,3,1,0.00,1/11/2023 20:49:38
3,34,3,2,0.00,1/11/2023 20:49:38
3,34,3,3,0.37,1/11/2023 20:49:38
3,34,3,4,0.00,1/11/2023 20:49:38
3,34,4,1,0.00,1/11/2023 20:49:38
3,34,4,2,0.00,1/11/2023 20:49:38
3,34,4,3,0.84,1/11/2023 20:49:38
3,34,4,4,0.00,1/11/2023 20:49:38
3,34,5,1,0.00,1/11/2023 20:49:38
3,34,5,2,0.00,1/11/2023 20:49:38
3,34,5,3,1.00,1/11/2023 20:49:38
3,34,5,4,0.00,1/11/2023 20:49:38
3,35,2,1,0.00,1/11/2023 20:49:38
3,35,2,2,0.00,1/11/2023 20:49:38
3,35,2,3,0.09,1/11/2023 20:49:38
3,35,2,4,0.00,1/11/2023 20:49:38
3,35,3,1,0.00,1/11/2023 20:49:38
3,35,3,2,0.00,1/11/2023 20:49:38
3,35,3,3,0.67,1/11/2023 20:49:38
